xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =  -10.000000
Beta  =    0.000
Phi   =    0.000
Ctrl  =    0.000
CL    =   -0.230952
Cy    =   -0.000000
Cd    =    0.002193     ICd   =    0.002193     PCd   =    0.000000
Cl   = -1.69615e-16
Cm   =  -0.0326717
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =   -0.175960     YCP   =   -0.000000     ZCP   =    0.040648  
XNP   =    0.000000
Bending = -8052.487780

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
 463       4.639e-01       6.136e+00       2.890e-02          -0.061           0.005           0.998       8.998e-03         -0.1059
 464       3.828e-01       6.136e+00       2.305e-02          -0.110           0.007           0.994       7.638e-03         -0.4453
 465       3.157e-01       6.136e+00       1.511e-02          -0.148           0.010           0.989       5.826e-03         -1.0240
 466       2.667e-01       6.136e+00       7.543e-03          -0.175           0.012           0.985       3.653e-03         -2.2152
 467       2.385e-01       6.136e+00       2.693e-03          -0.121           0.010           0.993       1.232e-03         -5.5250
Strip 37
 468       1.008e+00       6.221e+00      -5.753e-04           0.132          -0.003           0.991       7.315e-04          0.0627
 469       9.914e-01       6.221e+00       1.607e-03           0.126          -0.003           0.992       2.150e-03          0.0994
 470       9.531e-01       6.221e+00       6.297e-03           0.114          -0.003           0.994       3.439e-03          0.1238
 471       8.956e-01       6.221e+00       1.257e-02           0.097          -0.002           0.995       4.524e-03          0.1355
 472       8.222e-01       6.221e+00       1.924e-02           0.075          -0.002           0.997       5.341e-03          0.1329
 473       7.372e-01       6.221e+00       2.506e-02           0.050          -0.001           0.999       5.848e-03          0.1198
 474       6.454e-01       6.221e+00       2.905e-02           0.024           0.001           1.000       6.017e-03          0.1088
 475       5.524e-01       6.221e+00       3.051e-02          -0.010           0.003           1.000       5.841e-03          0.0921
 476       4.633e-01       6.221e+00       2.852e-02          -0.064           0.005           0.998       5.337e-03         -0.0336
 477       3.835e-01       6.221e+00       2.257e-02          -0.112           0.007           0.994       4.531e-03         -0.2765
 478       3.175e-01       6.221e+00       1.459e-02          -0.150           0.010           0.989       3.457e-03         -0.7362
 479       2.693e-01       6.221e+00       7.020e-03          -0.177           0.012           0.984       2.168e-03         -1.7834
 480       2.415e-01       6.221e+00       2.178e-03          -0.123           0.010           0.992       7.307e-04         -4.5888
Strip 38
 481       1.003e+00       6.264e+00       1.802e-04           0.130          -0.003           0.991       2.423e-04          0.0439
 482       9.867e-01       6.264e+00       2.323e-03           0.125          -0.003           0.992       7.124e-04          0.0657
 483       9.488e-01       6.264e+00       6.925e-03           0.112          -0.003           0.994       1.140e-03          0.0774
 484       8.918e-01       6.264e+00       1.308e-02           0.095          -0.003           0.995       1.499e-03          0.0832
 485       8.190e-01       6.264e+00       1.959e-02           0.074          -0.002           0.997       1.770e-03          0.0812
 486       7.346e-01       6.264e+00       2.525e-02           0.049          -0.001           0.999       1.938e-03          0.0735
 487       6.437e-01       6.264e+00       2.909e-02           0.023           0.001           1.000       1.994e-03          0.0688
 488       5.513e-01       6.264e+00       3.042e-02          -0.011           0.003           1.000       1.935e-03          0.0649
 489       4.630e-01       6.264e+00       2.833e-02          -0.065           0.005           0.998       1.769e-03         -0.0058
 490       3.839e-01       6.264e+00       2.233e-02          -0.114           0.007           0.993       1.502e-03         -0.1406
 491       3.184e-01       6.264e+00       1.433e-02          -0.152           0.010           0.988       1.146e-03         -0.3934
 492       2.706e-01       6.264e+00       6.757e-03          -0.178           0.012           0.984       7.184e-04         -1.0835
 493       2.430e-01       6.264e+00       1.919e-03          -0.124           0.010           0.992       2.422e-04         -3.2087










